token,symbol,name,exch,instrument_type,lot_size,tick_size,updated_at
500488,ABBOTINDIA,ABBOTINDIA,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
540691,ABCAPITAL,ABCAPITAL,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
520123,ABCINDQ,ABCINDQ,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
544522,ABCOTS,ABCOTS,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
544203,ABDL,ABDL,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
535755,ABFRL,ABFRL,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
532057,ABHICAP,ABHICAP,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
538935,ABHIFIN,ABHIFIN,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
539544,ABHIINFRA,ABHIINFRA,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
544281,ABINFRA,ABINFRA,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
511756,ABIRAFN,ABIRAFN,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
544403,ABLBL,ABLBL,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
531161,ABMKNO,ABMKNO,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
500040,ABREL,ABREL,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
544422,ABRFL,ABRFL,BSE,,1200,0.01,2026-07-05 08:48:17.051738+00
544500,ABRIL,ABRIL,BSE,,2000,0.01,2026-07-05 08:48:17.051738+00
544719,ABSL10BANK,ABSL10BANK,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
543374,ABSLAMC,ABSLAMC,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
542863,ABSLBANETF,ABSLBANETF,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
544706,ABSLMSCIN,ABSLMSCIN,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
542230,ABSLNN50ET,ABSLNN50ET,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
544218,ABSLPSE,ABSLPSE,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
530881,ABVL,ABVL,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
500410,ACC,ACC,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
531533,ACCEDERE,ACCEDERE,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
517494,ACCEL,ACCEL,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
543938,ACCELERATE,ACCELERATE,BSE,,640,0.01,2026-07-05 08:48:17.051738+00
532268,ACCELYA,ACCELYA,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
544710,ACCORDTS,ACCORDTS,BSE,,3000,0.01,2026-07-05 08:48:17.051738+00
544598,ACCURACY,ACCURACY,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
532762,ACE,ACE,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
544431,ACEALPHA,ACEALPHA,BSE,,1000,0.05,2026-07-05 08:48:17.051738+00
530093,ACEEDU,ACEEDU,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
539661,ACEMEN,ACEMEN,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
890230,ACESEPP,ACESEPP,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
531525,ACESOFT,ACESOFT,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
541133,ACFL,ACFL,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
536737,ACFSL,ACFSL,BSE,,1200,0.01,2026-07-05 08:48:17.051738+00
505036,ACGL,ACGL,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
543499,ACHYUT,ACHYUT,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
543657,ACI,ACI,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
517356,ACIIN,ACIIN,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
530043,ACKNIT,ACKNIT,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
532141,ACL,ACL,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
544213,ACLD,ACLD,BSE,,600,0.05,2026-07-05 08:48:17.051738+00
539391,ACME,ACME,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
544283,ACMESOLAR,ACMESOLAR,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
540146,ACML,ACML,BSE,,1000,0.01,2026-07-05 08:48:17.051738+00
513149,ACROW,ACROW,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
530745,ACSTECH,ACSTECH,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
541144,ACTIVE,ACTIVE,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
543349,ACUTAAS,ACUTAAS,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
539254,ADANIENSOL,ADANIENSOL,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
512599,ADANIENT,ADANIENT,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
541450,ADANIGREEN,ADANIGREEN,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
532921,ADANIPORTS,ADANIPORTS,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
533096,ADANIPOWER,ADANIPOWER,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
526711,ADARSHPL,ADARSHPL,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
523411,ADCINDIA,ADCINDIA,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
539506,ADCON,ADCON,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
544435,ADCOUNTY,ADCOUNTY,BSE,,800,0.01,2026-07-05 08:48:17.051738+00
507852,ADDIND,ADDIND,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
543309,ADESHWAR,ADESHWAR,BSE,,6000,0.01,2026-07-05 08:48:17.051738+00
519183,ADFFOODS,ADFFOODS,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
539189,ADHBHUTIN,ADHBHUTIN,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
531286,ADHHATA,ADHHATA,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
514113,ADINATH,ADINATH,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
543377,ADISHAKTI,ADISHAKTI,BSE,,10000,0.01,2026-07-05 08:48:17.051738+00
